goos: darwin
goarch: arm64
pkg: github.com/agentdisk/agent-disk/internal/service
cpu: Apple M4
BenchmarkReachable/N=1000/E=5/uniform/d=1-10         	      10	     19254 ns/op	    5360 B/op	      20 allocs/op
BenchmarkReachable/N=1000/E=5/uniform/d=1-10         	      10	     36425 ns/op	    5361 B/op	      20 allocs/op
BenchmarkReachable/N=1000/E=5/uniform/d=1-10         	      10	     38396 ns/op	    5363 B/op	      20 allocs/op
BenchmarkReachable/N=1000/E=5/uniform/d=2-10         	      10	     72112 ns/op	   30561 B/op	      72 allocs/op
BenchmarkReachable/N=1000/E=5/uniform/d=2-10         	      10	     58021 ns/op	   30572 B/op	      72 allocs/op
BenchmarkReachable/N=1000/E=5/uniform/d=2-10         	      10	     75658 ns/op	   30561 B/op	      72 allocs/op
BenchmarkReachable/N=1000/E=5/uniform/d=3-10         	      10	    130942 ns/op	  147748 B/op	     238 allocs/op
BenchmarkReachable/N=1000/E=5/uniform/d=3-10         	      10	    110617 ns/op	  147736 B/op	     238 allocs/op
BenchmarkReachable/N=1000/E=5/uniform/d=3-10         	      10	    143438 ns/op	  147737 B/op	     238 allocs/op
BenchmarkReachable/N=1000/E=5/powerlaw/d=1-10        	      10	     17929 ns/op	    5360 B/op	      20 allocs/op
BenchmarkReachable/N=1000/E=5/powerlaw/d=1-10        	      10	     17396 ns/op	    5360 B/op	      20 allocs/op
BenchmarkReachable/N=1000/E=5/powerlaw/d=1-10        	      10	     17400 ns/op	    5360 B/op	      20 allocs/op
BenchmarkReachable/N=1000/E=5/powerlaw/d=2-10        	      10	     60946 ns/op	   23488 B/op	      68 allocs/op
BenchmarkReachable/N=1000/E=5/powerlaw/d=2-10        	      10	     57300 ns/op	   23488 B/op	      68 allocs/op
BenchmarkReachable/N=1000/E=5/powerlaw/d=2-10        	      10	     55433 ns/op	   23488 B/op	      68 allocs/op
BenchmarkReachable/N=1000/E=5/powerlaw/d=3-10        	      10	    121708 ns/op	   56233 B/op	     151 allocs/op
BenchmarkReachable/N=1000/E=5/powerlaw/d=3-10        	      10	    120171 ns/op	   56233 B/op	     151 allocs/op
BenchmarkReachable/N=1000/E=5/powerlaw/d=3-10        	      10	    113879 ns/op	   56791 B/op	     151 allocs/op
BenchmarkReachable/N=10000/E=5/uniform/d=1-10        	      10	    143671 ns/op	    5360 B/op	      20 allocs/op
BenchmarkReachable/N=10000/E=5/uniform/d=1-10        	      10	    142088 ns/op	    5360 B/op	      20 allocs/op
BenchmarkReachable/N=10000/E=5/uniform/d=1-10        	      10	    134792 ns/op	    5360 B/op	      20 allocs/op
BenchmarkReachable/N=10000/E=5/uniform/d=2-10        	      10	    314617 ns/op	   30560 B/op	      72 allocs/op
