# BFS bench — 2026-07-02T08:35:37Z
# benchtime=10x count=3
# go version: go version go1.26.3 darwin/arm64

goos: darwin
goarch: arm64
pkg: github.com/agentdisk/agent-disk/internal/service
cpu: Apple M4
BenchmarkReachable/N=1000/E=5/uniform/d=1-10         	      10	     17412 ns/op	    5360 B/op	      20 allocs/op
BenchmarkReachable/N=1000/E=5/uniform/d=1-10         	      10	     47429 ns/op	    5361 B/op	      20 allocs/op
BenchmarkReachable/N=1000/E=5/uniform/d=1-10         	      10	     34912 ns/op	    5361 B/op	      20 allocs/op
BenchmarkReachable/N=1000/E=5/uniform/d=2-10         	      10	     61554 ns/op	   30561 B/op	      72 allocs/op
BenchmarkReachable/N=1000/E=5/uniform/d=2-10         	      10	     75362 ns/op	   30560 B/op	      72 allocs/op
BenchmarkReachable/N=1000/E=5/uniform/d=2-10         	      10	    105208 ns/op	   30560 B/op	      72 allocs/op
BenchmarkReachable/N=1000/E=5/uniform/d=3-10         	      10	    127062 ns/op	  147737 B/op	     238 allocs/op
BenchmarkReachable/N=1000/E=5/uniform/d=3-10         	      10	    130858 ns/op	  147739 B/op	     238 allocs/op
BenchmarkReachable/N=1000/E=5/uniform/d=3-10         	      10	    127367 ns/op	  147737 B/op	     238 allocs/op
BenchmarkReachable/N=1000/E=5/powerlaw/d=1-10        	      10	     55062 ns/op	    5361 B/op	      20 allocs/op
BenchmarkReachable/N=1000/E=5/powerlaw/d=1-10        	      10	     64779 ns/op	    5372 B/op	      20 allocs/op
BenchmarkReachable/N=1000/E=5/powerlaw/d=1-10        	      10	     55683 ns/op	    5360 B/op	      20 allocs/op
BenchmarkReachable/N=1000/E=5/powerlaw/d=2-10        	      10	     73096 ns/op	   23488 B/op	      68 allocs/op
BenchmarkReachable/N=1000/E=5/powerlaw/d=2-10        	      10	     50033 ns/op	   23499 B/op	      68 allocs/op
BenchmarkReachable/N=1000/E=5/powerlaw/d=2-10        	      10	     45412 ns/op	   23488 B/op	      68 allocs/op
BenchmarkReachable/N=1000/E=5/powerlaw/d=3-10        	      10	    132196 ns/op	   56235 B/op	     151 allocs/op
BenchmarkReachable/N=1000/E=5/powerlaw/d=3-10        	      10	    109733 ns/op	   56256 B/op	     151 allocs/op
BenchmarkReachable/N=1000/E=5/powerlaw/d=3-10        	      10	    100512 ns/op	   56233 B/op	     151 allocs/op
BenchmarkReachable/N=10000/E=5/uniform/d=1-10        	      10	    143912 ns/op	    5360 B/op	      20 allocs/op
BenchmarkReachable/N=10000/E=5/uniform/d=1-10        	      10	    142604 ns/op	    5360 B/op	      20 allocs/op
BenchmarkReachable/N=10000/E=5/uniform/d=1-10        	      10	    277788 ns/op	    5361 B/op	      20 allocs/op
BenchmarkReachable/N=10000/E=5/uniform/d=2-10        	      10	    325921 ns/op	   30560 B/op	      72 allocs/op
BenchmarkReachable/N=10000/E=5/uniform/d=2-10        	      10	    303354 ns/op	   30560 B/op	      72 allocs/op
BenchmarkReachable/N=10000/E=5/uniform/d=2-10        	      10	    313908 ns/op	   30560 B/op	      72 allocs/op
BenchmarkReachable/N=10000/E=5/uniform/d=3-10        	      10	    797004 ns/op	  147737 B/op	     238 allocs/op
BenchmarkReachable/N=10000/E=5/uniform/d=3-10        	      10	    689521 ns/op	  147736 B/op	     238 allocs/op
BenchmarkReachable/N=10000/E=5/uniform/d=3-10        	      10	    685212 ns/op	  147771 B/op	     238 allocs/op
BenchmarkReachable/N=10000/E=5/powerlaw/d=1-10       	      10	    139338 ns/op	    5360 B/op	      20 allocs/op
BenchmarkReachable/N=10000/E=5/powerlaw/d=1-10       	      10	    137888 ns/op	    5360 B/op	      20 allocs/op
BenchmarkReachable/N=10000/E=5/powerlaw/d=1-10       	      10	    138046 ns/op	    5360 B/op	      20 allocs/op
BenchmarkReachable/N=10000/E=5/powerlaw/d=2-10       	      10	    303608 ns/op	   22720 B/op	      68 allocs/op
BenchmarkReachable/N=10000/E=5/powerlaw/d=2-10       	      10	    302171 ns/op	   22720 B/op	      68 allocs/op
BenchmarkReachable/N=10000/E=5/powerlaw/d=2-10       	      10	    305208 ns/op	   22720 B/op	      68 allocs/op
BenchmarkReachable/N=10000/E=5/powerlaw/d=3-10       	      10	    507654 ns/op	   60160 B/op	     148 allocs/op
BenchmarkReachable/N=10000/E=5/powerlaw/d=3-10       	      10	    494671 ns/op	   60160 B/op	     148 allocs/op
BenchmarkReachable/N=10000/E=5/powerlaw/d=3-10       	      10	    511971 ns/op	   60160 B/op	     148 allocs/op
BenchmarkReachable/N=100000/E=5/uniform/d=1-10       	      10	   1229608 ns/op	    5360 B/op	      20 allocs/op
BenchmarkReachable/N=100000/E=5/uniform/d=1-10       	      10	   1306058 ns/op	    5360 B/op	      20 allocs/op
BenchmarkReachable/N=100000/E=5/uniform/d=1-10       	      10	   1250588 ns/op	    5360 B/op	      20 allocs/op
BenchmarkReachable/N=100000/E=5/uniform/d=2-10       	      10	   2949588 ns/op	   30560 B/op	      72 allocs/op
BenchmarkReachable/N=100000/E=5/uniform/d=2-10       	      10	   2846683 ns/op	   30560 B/op	      72 allocs/op
BenchmarkReachable/N=100000/E=5/uniform/d=2-10       	      10	   2930471 ns/op	   30560 B/op	      72 allocs/op
BenchmarkReachable/N=100000/E=5/uniform/d=3-10       	      10	   6022300 ns/op	  147736 B/op	     238 allocs/op
BenchmarkReachable/N=100000/E=5/uniform/d=3-10       	      10	   5504554 ns/op	  147736 B/op	     238 allocs/op
BenchmarkReachable/N=100000/E=5/uniform/d=3-10       	      10	   5603675 ns/op	  147736 B/op	     238 allocs/op
BenchmarkReachable/N=100000/E=5/powerlaw/d=1-10      	      10	   1289767 ns/op	    5360 B/op	      20 allocs/op
BenchmarkReachable/N=100000/E=5/powerlaw/d=1-10      	      10	   1317058 ns/op	    5360 B/op	      20 allocs/op
BenchmarkReachable/N=100000/E=5/powerlaw/d=1-10      	      10	   1209867 ns/op	    5360 B/op	      20 allocs/op
BenchmarkReachable/N=100000/E=5/powerlaw/d=2-10      	      10	   2832275 ns/op	   23488 B/op	      68 allocs/op
BenchmarkReachable/N=100000/E=5/powerlaw/d=2-10      	      10	   2824412 ns/op	   23488 B/op	      68 allocs/op
BenchmarkReachable/N=100000/E=5/powerlaw/d=2-10      	      10	   2867358 ns/op	   23488 B/op	      68 allocs/op
BenchmarkReachable/N=100000/E=5/powerlaw/d=3-10      	      10	   4866192 ns/op	   60328 B/op	     153 allocs/op
BenchmarkReachable/N=100000/E=5/powerlaw/d=3-10      	      10	   4702246 ns/op	   60328 B/op	     153 allocs/op
BenchmarkReachable/N=100000/E=5/powerlaw/d=3-10      	      10	   5299821 ns/op	   60328 B/op	     153 allocs/op
BenchmarkSubgraph/N=1000/E=5/uniform-10              	      10	   1263662 ns/op	 4484104 B/op	      74 allocs/op
BenchmarkSubgraph/N=1000/E=5/uniform-10              	      10	   1424454 ns/op	 4484115 B/op	      74 allocs/op
